feature_type,model,test_mse,test_r2,test_spearman
Physicochemical,RF,1.3472826423701691,0.7170830961325175,0.8423415276559955
Physicochemical,NN,1.4348152703811912,0.6987020531906325,0.821699911427226
ESM-2 650M,RF,1.2288045668455987,0.7419623970671908,0.849007356842577
ESM-2 650M,NN,1.068007577026296,0.775728278909814,0.8606667743316828
ESM-2 3B,RF,1.3046980163901891,0.7260254740387717,0.8416271523066793
ESM-2 3B,NN,1.144055404658584,0.759758937909677,0.8527597899059062
Ginkgo AA0,RF,1.1931265960754365,0.7494544412078408,0.8515132760113293
Ginkgo AA0,NN,0.9807881337299577,0.7940435559559393,0.8684786529450049
